num,predecessor,c,mu
1,0,1,0:19:18
2,1,1,0:16:20
3,2,1,0:16:20
4,3,1,0:16:28
5,4,1,0:16:53
6,5,1,0:16:53
7,6,1,0:16:53
8,5,1,0:16:01
9,5,1,0:16:01
10,5,1,0:15:50
11,10,1,0:15:50
12,11,1,0:15:50
13,12,1,0:16:52
14,13,1,0:19:04
15,11,1,0:18:54
16,10,1,0:19:24
17,14,1,0:22:18
18,14,1,0:22:18
19,18,1,0:22:49
20,19,1,0:22:57
21,20,1,0:22:57
22,21,1,0:22:57
23,19,1,0:22:57
24,18,1,0:10:17
25,24,1,0:10:17
26,25,1,0:10:17
27,25,1,0:10:17
28,27,1,0:10:17
29,28,1,0:11:43
30,29,1,0:14:01
31,28,1,0:15:22
32,31,1,0:14:49
33,31,1,0:15:44
34,31,1,0:14:29
35,34,1,0:14:51
36,28,1,0:16:17
37,36,1,0:16:30
38,37,1,0:16:30
39,28,1,0:17:19
40,39,1,0:16:14
41,40,1,0:16:14
42,39,1,0:16:14
43,42,1,0:16:14
44,39,1,0:16:14
45,39,1,0:16:53
46,45,1,0:17:41
47,46,1,0:18:12
48,47,1,0:17:24
49,39,1,0:16:42
50,46,1,0:19:54
51,46,1,0:20:29
52,51,1,0:23:34
53,45,1,0:24:33
54,53,1,0:24:59
55,54,1,0:24:40
56,55,1,0:24:13
57,56,1,0:24:13
58,55,1,0:24:23
59,58,1,0:24:32
60,55,1,0:24:32
